[00:00:04.240] 行けてんのか?これ
[01:20:52.280] か来た外れて。ちょ、ほんま悔しいな。
[01:20:56.480] 俺だってまだ配信で飲もうって思ってた。
[01:21:00.159] 飲も練習部族とかじゃないって。だって
[01:21:03.000] あんなん、あんなんどうしようもなくねえ
[01:21:05.159] か。あんなんありました。
[01:21:10.159] ありがとうございました。はい。
[01:21:14.800] コーラまだ開けてへんねんで。これから
[01:21:17.440] 飲もうと思ってたコーラ事故だよな。夢
[01:21:21.320] やんな。お疲れ様でした。
[01:21:29.760] もう
[01:21:31.880] 悔しい。
[01:21:41.239] これ悔しすぎるって。いや、これ意外と
[01:21:45.120] こんなへこむと自分でも思わんかった。
[01:21:48.760] で楽しい時間は今日は終わりだ。
[01:21:53.040] レオンの光が夢をつぐ派手なバカで今は脱いでのが心を包むき代を職なんて冗さなんかゲームの先にが見え
[01:22:16.080] この後全員でクリアされたら
[01:22:21.639] おやすみ
[01:22:22.920] したら俺の家持って写真撮ってもらう。楽しい時間は終
[01:22:33.199] もう1
[01:22:33.480] 回やらせてください。これよろしくお願いします。
[01:22:44.000] お疲れみんなごめんな。楽しみにして来てくれたみんなありがとう。またもう
[01:22:48.440] 1回やらせてください。じゃあK
[01:22:49.880] チャンネルにレートするわ。
[01:22:51.560] ありがとうね、みんな応援してくれてありがとう。
[01:22:54.480] またちょっとこれ最後までみんなで見守ろうぜ。うん。ありがとうな。おやすみ。おやすみ。おやすみ。お休み。
[01:23:06.360] ።
