[00:00:35.520] しぐしみょだな。うい。お疲れ。
[01:46:25.440] くそだり。
[01:46:35.880] あ、しかも間違え。これハンマー持ってき
[01:46:37.880] てだめだ。うー、ちくしょ。間違えた。
[01:46:40.960] あれ?これ積んだのでは?
[01:46:49.760] ああ、積んだね、これ。
[01:46:55.199] いや、あれだ。むずいじゃん。
[01:46:59.840] このあれだな。キンシーキンシーもう毎回倒さなきゃだめや。
[01:47:15.119] カンクローもいますと。
[01:47:18.080] 嘘?嘘?嘘かってない。
[01:47:22.320] た
[01:47:32.440] おらんか?
[01:47:35.239] ちょっと待って。あいつがめんどくせえな。あいつを倒してからじゃないと行動できねえ。こち来い。
[01:47:56.480] よし。
[01:47:57.000] 来い来い。
[01:48:13.400] で、まだ相倒す。よし。オッー。オ、いいよ。
[01:48:20.000] あ、これ近くに置いといて。ちょっとま、
[01:48:23.040] いいや。ま、いいや。
[01:48:30.000] 問題は問題は
[01:48:46.639] よし。
[01:48:53.639] ああ、違う。これ積んだわ。
[01:48:59.119] あ、これ積んだ。
[01:49:06.480] うまう
[01:49:08.040] 。いや、でもこれ積んでるるっすわ。だめ
[01:49:11.400] だね、これ。積んでるね。笑
[01:49:15.800] ああ、積んでる。使適当に使っちゃダめ
[01:49:19.719] だったんだ、あれ。適当に使っちゃ。あの
[01:49:23.000] 、あのハンマー2個で人行くんや、これ。
[01:49:26.560] いや、ようできてはりますわ。
[01:49:30.639] ようできてはるね。Aゲームや。Aゲーム
[01:49:35.080] やと思う。
[01:49:37.880] ただもう行ける。ただもう行けるじゃ
[01:49:41.280] ねえかよ。草けそう
[01:49:45.639] 。笑笑顔やん。
[01:49:48.840] 笑笑。ダブル。
[01:49:51.080] 笑笑。
[01:49:53.360] おい。
[01:49:56.159] あのやのな、
[01:49:57.960] 誰が臭いや。
[01:49:59.080] ちゃ、あのちゃ、やの、
[01:50:01.239] やの、
[01:50:02.639] あの、一番最後のみんなで新幹線待ってる時に坂がうんち、や
[01:50:07.040] げうんく事件。
[01:50:07.960] うんうんこしにうううんうんこしに行った時にさ、マーブルがさ、
[01:50:12.719] あの、全然知らない人のふりしてトイレ入ってって草って言ったの覚えてる?あれ?あれひどいなと思った。俺もひどいことするなって思った。でも俺と俺とワルは大爆笑してた。
[01:50:32.080] ひどい。で、ほんま
[01:50:33.239] ひどいよね。ひどいよね。人の心ないわ。
[01:50:37.800] 同や。大爆笑してたけど恥ずかしそうに出てきた。
[01:50:44.800] 笑笑。
[01:50:45.360] うんこ終わったおが
[01:50:47.639] アムゲーぐるぐ。
[01:50:49.119] 恥ずかしそうにしてた。あは
[01:50:55.119] 影の思い出がさガちゃんのうん。
[01:50:58.159] うん。ま、そんくらいしかないかな。そんくらいしかないかな。アムゲーグルグか。ありがとう。ペッテリーペリスありがとう。
[01:51:05.440] あっは
[01:51:06.719] 間違った。あれ俺セーブしてなかったんだ。喋ってなかった。パスワード
[01:51:14.320] AM
[01:51:16.119] amAMGE
[01:51:24.159] おれ。オ
[01:51:28.239] ま、今日ちょっとここしたら終わりかもな。だもう行けるからね。もう行けるからね。
[01:51:33.679] 言っても
[01:51:36.159] ビグ。
[01:51:39.280] いや、まあまあまあ、ちょ、ま、この次ぐらいまでやるか。この次ぐらいまでやろうか。
[01:51:43.159] クリアしないでくれ。
[01:51:46.719] この次ぐらいまで。
[01:51:47.480] 次で次まで。
[01:51:48.599] 次まで。でも次がさ、死ぬほど難しかったらさ、死ぬが次死ぬほど難しい可能性があるからな。ああ、届かないんかい、それ。
[01:52:03.280] おお、マジかよ。マジか。マジか。いや、
[01:52:07.440] それはなあ、なんなんだよ。
[01:52:16.719] マジで順番大事だな。
[01:52:41.040] 間違えた。
[01:52:45.760] やばい、やばい、やばい、やば、危ね。
[01:52:50.280] ちょっと、ちょっと、ちょっと一旦待て。
[01:52:53.079] こういうことだよ。おい、おい、おい、
[01:52:54.639] おい、おい、おい、おい、おい。
[01:52:57.880] こんなピタゴラスイッチやん。そんなんさ
[01:53:00.040] れたら。
[01:53:02.760] 笑笑。
[01:53:05.040] 見た。今の
[01:53:06.480] いいチームプレイ。
[01:53:07.520] 本当だよね。すごかったで、今。
[01:53:13.840] お呼びですか?
[01:53:14.920] すごかった。ワンワン。お呼びですか?高卒なのでわかりません。
[01:53:34.119] もうあ、むずいな。やり方分かったのにむずいな。
[01:53:40.199] ダブル
[01:53:43.320] 高卒なので分かりません。
[01:53:58.960] え、何?何?何?高察だよ俺。あ、ま、マジがルんルんル。間違えた。
[01:54:10.400] テレビのジョン呼ぼう。
[01:54:11.480] テレブテレビのジョンワお呼びですか?
[01:54:19.599] アムゲーぐるぐ。アムゲーグルね。できれ
[01:54:22.639] ばあの英語で言ってくんねと。英語に英語
[01:54:25.480] で言ってくんねとわかんない。
[01:54:27.199] アムゲグルグ覚え
[01:54:32.159] やつ覚え
[01:54:33.800] やつアムゲーグルね笑
[01:54:41.719] パスワードにしようかな。なんかいろんな
[01:54:45.360] いろんなもののパスワードアムゲーぐるぐ
[01:55:14.840] もうここでさ、もたつくのが1番ダ
[01:55:21.520] おい、またピタゴラスイッチになるぞ、
[01:55:23.400] これ。
[01:55:28.520] もうこれなん、なんかどうやってやってた
[01:55:30.960] ?ここどうやってやってた?なんかなんか
[01:55:33.880] すっごいなんかあの、置き攻めされるんだ
[01:55:35.960] けど。
[01:55:41.000] 確かに自分もゲームのパスワードを大事な
[01:55:43.679] もののパスワードに有用しへえ。あ、そう
[01:55:46.159] なんだ。笑。
[01:55:50.199] え、どんなの?あ、どんなの使ってんのって聞いちゃだめか?あ、聞いちゃだめか。
[01:55:54.679] ネタですか?
[01:55:55.679] 聞いちゃだめか。何が
[01:55:57.320] 笑
[01:55:57.639] 何が何がどこ?何が下ネタやね。
[01:56:02.880] もっとイライラしてほしい。切ってみよう。
[01:56:06.840] 塩下ネタや。
[01:56:09.599] 置き攻め。
[01:56:12.400] え、
[01:56:14.079] 置き攻めって下ネタなの?
[01:56:18.560] いや、始まったで、これ始まったで。
[01:56:24.079] もう
[01:56:27.480] むかつくわ、このゲームおもろいけどね。
[01:56:31.079] おもろいけど。うん。おもろいんだけど。
[01:56:39.079] ゲームのパスワードを何そうな顔していってよ。
[01:56:43.119] Amazonのあれに、Amazon
[01:56:44.280] のあれにしてる。
[01:56:46.679] Amazon
[01:56:47.000] のパスワード。ゲームのパスワードにしてる。あいつだけ殺すわ。こいつだけ殺す。くばれや。で、もう行っちゃうねん。ここで行っちゃうねん。ここで行っちゃう。
[01:56:57.079] 安全性こう。
[01:57:03.440] おい。おいと。
[01:57:06.079] 行っちゃう。行っちゃう。りちゃんどうもこんばんは。
[01:57:08.159] こんばんは。
[01:57:08.920] こんばんは。ちゃまゲームです。お耳の恋人ごとチまゲームです。
[01:57:16.440] エッチ
[01:57:17.239] ね。女の子がそって言うとエッチだよ。
[01:57:20.639] ドラゴンクエスト2
[01:57:21.719] のパスワードなら安全かな。
[01:57:24.040] 優てみ鳥山明堀裕二鳥山からあ。え、杉山あペみたいなやつな。あるある。お前だけは殺す。
[01:57:37.760] お前だけは殺す。うん。殺せなかった。やっと土地にゲットしました。
[01:57:45.800] へが十分です。
[01:57:47.719] 中古で十分だろ。今の中古なんか別に
[01:57:50.360] 別にそんな全然あれだろ。
[01:57:53.040] 何一瞬うじうじわかんない。ごめん。うじ強しわかんない。ごめんごめんごめんごめん。うじ強しわかんない。だここうやってやっちゃうん。こうよ。
[01:58:07.560] もう先にゴールゴールの道作っちゃおう。オ、
[01:58:17.360] いいね。
[01:58:18.280] いいね。ウィね。えい、えい、えい。オー、やっと行けるぜ。これで
[01:58:32.040] 道は開けた。
[01:58:36.280] デオに行ったら他のお客様も水土地に買いに来てて私がえ残り
[01:58:41.840] 1個だった。
[01:58:42.560] ままサプライ勝ち
[01:58:47.119] 余裕なんだよね。
[01:58:48.440] 汎用性高すぎて逆に使いどころ悩むんですが皆殺しにしろこなが濁音しない分です。
[01:58:56.800] パチパチパチパチ
[01:58:59.119] こ怖
[01:59:01.599] 怖いけど好きかも一番好きかもその分が
[01:59:04.719] 皆殺しにしろコナビ
[01:59:06.639] 怖い使いたい
[01:59:08.560] 使いたいね皆殺しにしろコナビしかもそれ全部数字でいけない
[01:59:16.360] 3
[01:59:16.800] パスワード忘れずに37あ
[01:59:21.079] 口に出して読みたい日本語上がりする前にゲットできてよかっ
[01:59:25.880] あ、そうだね。上がりするもんね。はい。ちょっとみんな
[01:59:29.800] 75億64のコナビ
[01:59:34.000] めっちゃいい。それ
[01:59:35.320] デブペキスパスワードにしました。
[01:59:37.679] パスワードにしようかな。それなんかの。あ、しった。
[01:59:43.000] おお。
[01:59:49.679] え、ちょっとパスワード見てきてみんな。あみちゃんありがとう。
[01:59:52.360] それパスワード?それパスワード?
[01:59:54.840] チま君銀行の暗証番号はどうしてる?
[01:59:57.760] 言う?どうしてる?違うんかい?言うわけなかろうが。なかろうもん。
[02:00:03.280] 8931
[02:00:07.079] あれ?これなんだ?8900
[02:00:10.560] や薬菜うーん。
[02:00:21.719] このスコップどこで使うんやろ?わかん
[02:00:23.440] ねえ。わかんねえから1回ここ開けちゃう
[02:00:24.800] わ。
[02:00:29.400] 多分使いどころあるんだろうな。
[02:00:43.840] いや、こういう系のステージはむずいよ。
[02:00:46.480] 頭使うからね。一面じゃないから。
[02:00:50.639] 3フィールドあるな。純粋ですね。
[02:00:53.560] 純粋だけど多分そういうのが一ちゃんむずいねんな。そういうのが一ちゃんむずいねんな。ここはもうこうやって取るしかない。上から来たら絶対これ取れないからこうやって取るしかないんだ。絶対ここどうやって取るかだよね。ここどうやって取んの?ここどうやってんだろうね。
[02:01:19.079] おそらくなんかここからやるんだと思うんだけど。え、ここどうやってんの?
[02:01:26.560] 真のパスワード矢印。あ、ギこちょ。
[02:01:29.480] あぎこちょ。ありがとう。あぎこちょ。あ、ギこ。ただ割とアイテムは純宅にあるぞ。
[02:01:48.159] いや、でも待って。これむずいな。いや、むずいね、これ。なんだ、
[02:01:56.360] このゲーム服で出てたら劣化してたかな?
[02:01:59.520] いや、どうだろうね。別に
[02:02:01.000] らしいな。
[02:02:01.840] 別にこのぐらいのクオリティだったら劣化しないんじゃない?だって別にこれ全然ファミコンでもできるでしょ。音とかは劣化するかもしんないけど。これ
[02:02:09.520] SCC音源だから。
[02:02:22.040] 結構描画がぬるっとしてるからさ。
[02:02:24.880] まあね。これこっちっちゃうか。いや、多分絶対違うけど
[02:02:40.960] 1回やってみていい?わかんない。やって
[02:02:42.360] みなきゃわかんねえから。絶対違うけど。
[02:02:52.800] だってここが取れないよね。どう考えても
[02:02:54.880] この弾が取れなくない?
[02:02:57.639] この弾絶対取れないよな。だってあの3弾
[02:03:01.599] ってジャンプじゃ無理じゃね?で、しかも
[02:03:03.040] 横から穴掘ろうにも上から穴掘ろうにも
[02:03:08.159] え、
[02:03:15.719] これ絶対違うけどね。
[02:03:22.280] え、これまさかさ。
[02:03:27.560] なるほどね。
[02:03:28.639] ま、こういうのも出てきますと、これからはいはいはいはいはいはい。
[02:03:32.480] マジか。笑笑
[02:03:33.960] なるほど。おも高等テクやね、これ。
[02:03:39.440] これはちょっとずっこい。
[02:03:40.560] これずっこいね、これ。気づかないとずっこいね。あと絶対、あとスコップ絶対ここだった。ここ絶対スコップや。ここや。スコップ使う場所俺使っちゃった。
[02:03:54.400] 絶対ここだ。
[02:03:56.079] あるゲーム思い出してます。
[02:03:58.239] 何?どんなゲーム?これ何?こういうゲームなんかあんの?他にも絶対こ、あ、てか普通にこれ使えばいいか?普通にこれ使えばいいか?あ、だめだ。これ使ったらだって寝れないもんな。ジャンプできねえんだから。ああ、絶対ここだったな。スコップここだったわ。
[02:04:13.199] 1
[02:04:13.400] 番最初のスコップしった。あとはここだよね。
[02:04:24.520] ここもむずいぜ。
[02:04:28.960] 行ってしまうとドラキュラです。笑。あえ、何?あの
[02:04:34.000] MSX
[02:04:34.520] 版のこれどっかで使えねえかな?これ
[02:04:42.599] お楽しみに。
[02:04:43.920] ええ。これ絶対間違ってるわね。ダめやこれ。
[02:04:53.280] 分からこは一旦諦めるとして絶対スコップで来なきゃいけないのは分かったから。これ左だね。右だね。左右も出たな、今。ここだね。ここどうやってこの弾
[02:05:07.559] 3
[02:05:07.719] つをこのイテムでどう処理するかなんだよ。
[02:05:10.800] この3つのアイテムでどう処理するか
[02:05:15.880] だしどうやってやっても多分
[02:05:20.199] どうやってやっても多分このツハを拾う
[02:05:22.199] ことになっちゃうんだよ。
[02:05:29.880] それしかないもんね。だってね宿題やな。
[02:05:33.520] え、宿題かな?
[02:05:43.119] え、待って。むずくね。
[02:05:46.840] だってこのツルハしかないもんね。現状ね
[02:05:49.920] 。中に考えちゃう。
[02:06:06.320] ええ、
[02:06:12.800] なんかうまいことこの辺から落ちてさ、
[02:06:14.599] ダめだよな、
[02:06:19.599] これ。もしかしてアイテム足りない?
[02:06:22.239] ごめん。1回ここから捨てて。だめだ。
[02:06:25.159] なんかアイテム足りない気がすんな。
[02:06:42.079] ででまたこれみんな気づいた?これこれだいぶ意地悪だよ、これ。
[02:06:55.960] 気づいちゃった。気づいちゃった。わイわいの。
[02:06:59.280] これだいぶ意地悪ですね。
[02:07:01.400] X2キングSバフレイ。
[02:07:03.840] ここをさ、スコップで降りたいと思うじゃん。多分これこのままスコップ拾ってこうやってぐるって回って上行ってここで穴掘るじゃん。そうすると穴掘った瞬間に何もなくなってこのドリル取っちゃってここでジャンプできなくなって積むんだよ。これひどい話ですわな。ということはだということはだまず最初にこのドリルをどっかで使ってこなきゃいけない。
[02:07:24.280] えぐい。
[02:07:25.159] えぐいよな。これ絶対そうだよ。このドリルをどっかで最初の時に使ってこないといけない。
[02:07:36.320] まあ、え、でもどこだ?あ、いや、もうで
[02:07:39.520] もここは多分ここは多分開けなきゃいけ
[02:07:42.079] ないからこれは多分もうこれ使っちゃって
[02:07:44.199] いいっしょ。
[02:07:46.599] ほんでこうな。オ、
[02:07:54.520] ほんでだ。
[02:08:09.119] ここやろ。オオ。おい、
[02:08:13.159] いい。
[02:08:15.520] はい。オケー。よしよしよしよし。
[02:08:20.800] ほんで
[02:08:23.520] こっちだよな。
[02:08:29.800] あれでもやっぱりさ、どうやってやっても
[02:08:31.760] ここの3つのアイテムを使うしかないよ。
[02:08:34.320] だって残りはさ、残りはここのドリル3つ
[02:08:37.920] でしょ。
[02:08:39.920] このドリル3つじゃもう
[02:08:42.760] 無理だよな。だってここの段差の下に行っ
[02:08:45.520] ちゃってるとこはもうこっち戻ってこれ
[02:08:46.800] ねえんだから。
[02:08:51.119] そんなことないか。あ、そんなことないな
[02:08:53.400] 。これでぐるってこっちから回ってくれれ
[02:08:55.239] ば。あ、そんなことないな。
[02:09:06.360] いや、もうここはもう確実にこうなんだ。ほんで
[02:09:15.920] 敵がいないのがのびノび。
[02:09:17.440] いや、それはそう。マジで。ただこれマジで頭使う。ここも多分これ確実なんだよな。ほんでこのドリルを持って行くんやな。
[02:09:26.480] 多分このドリルを持って
[02:09:44.480] ためっちゃむずくない?ドリルをだら
[02:09:48.119] あそこに置いてあるドリル、下に置いて
[02:09:49.400] あるドリルを
[02:09:51.480] 持ってくるんだけどどうやってやればここ
[02:09:54.079] 3つ取れる?どうやってやれば3つ
[02:09:56.159] 取れるドリル2本とツル足2本。床が
[02:10:00.040] 2回と壁が2回壊せるんだけど。で、この
[02:10:02.559] 3
[02:10:02.679] つのやつを全部取んなきゃいけない。これ多分順番も大切だぞ。拾えなくなっちゃうからな。アイテムが。
[02:10:12.199] 簡単やん。
[02:10:14.840] え、まずどこ壊すの?
[02:10:26.480] 多分ね、ドリル持って、ドリル持ってこれ
[02:10:29.639] は確実なんだよな。ここ、ここは確実なん
[02:10:32.159] だよ。ただこれをあ、あそこの隣の部屋の
[02:10:35.559] ドリルを使うのか、その上のドリルを使う
[02:10:37.239] のかでも変わってくるんだよね。
[02:10:47.079] あ、いやいやいや、そんなことめっちゃ簡単だ。ごめん。あれ、めっちゃ簡単じゃね、これ。あれ、待って。俺のあれが正しければめっちゃ簡単。
[02:10:52.480] に回答権分かってねえんだろ。あれめっちゃ簡単じゃ。いや、普通にさ、普通にこうやん。え、なんやねん。
[02:11:11.840] めっちゃ簡単やん。なんやねん。
[02:11:14.159] 1個余るしな。ほんで、ほんで
[02:11:16.719] 1
[02:11:16.920] 個余るしな。なんやねん。めっちゃ簡単やん。なんならさっきも行けてたやん、これで。ただあそこのドリル
[02:11:24.840] いや、絶対分かってない。おい。絶対分かってなかっただろ。おい、絶対こうやん。なんなら余まりますやん。
[02:11:33.679] 1個余まりますやん。
[02:11:45.199] イエス。イエス。オ。
[02:11:49.960] あ、すっきりした。
[02:11:54.040] よしよしよし。
[02:11:58.199] あ、よかったよかった。行けてきた。いい
[02:12:00.480] ね。オう。うまい。
[02:12:07.480] はい。
[02:12:10.760] おもろ。エルギーザおもろ。
[02:12:12.960] ハンバーグ青空られ考えすぎだと逆に安心できますね。
[02:12:18.639] ね。
[02:12:19.040] これが賢さ。賢もいますと。
[02:12:22.360] 賢きも数
[02:12:24.679] 知恵ありし物邪魔ゲームです。賢きも。いや、もう今日はここまでにしようかな。ちょっと次するか。次のステージ見てみよう。
[02:12:35.159] 27
[02:12:35.800] ちょっと待今日ちょっとここまでしようかな。
[02:12:37.840] パスワード使う必要なかった。
[02:12:39.639] 本当だよね。油蓄えし物学歴なき者
[02:12:43.800] 学歴なき
[02:12:45.960] 学歴なき物夢叶えしもここそんな難しくねえんじゃないそんな蝶はとはおさんはなとやはおろさんはなここそんな難しくなさそうだよ
[02:13:07.679] 藤下さんだって高校中
[02:13:10.159] だし大丈夫だよ。
[02:13:12.239] あ、そうな。ハンマーでそうはとんやが下ろさんのここそんないんちゃう何か。え、え、なんかそ、むずいかこ。
[02:13:44.719] ただあのはしごは多分消えてなくなる
[02:13:46.599] タイプだから。
[02:13:59.800] あ、待って。この下もあるな。
[02:14:07.320] ああ。
[02:14:09.760] ここ広いんだ。あ、え、ここは一面なんや
[02:14:13.440] 。
[02:14:18.920] あ、あ、あ、あ。壁閉められた。うわ、
[02:14:22.000] うわ、うわ。めっちゃ閉められてる。うお
[02:14:24.400] 。お前マジかよ。お前マジかよ。ああ、
[02:14:29.079] やめて。やだ、やだ、嫌だ。はい、今日
[02:14:32.920] ここまでです。はい、ありがとうござい
[02:14:34.199] ました。
[02:14:36.199] はい、今日ここまでありがとうございまし
[02:14:37.360] た。
[02:14:39.480] むずいね。
[02:14:42.320] 残念。
[02:14:43.760] むずいね。
[02:14:45.360] 割と進んだ。
[02:14:46.559] ただいいぞ。割とすん。割とす。
[02:14:48.559] 7
[02:14:48.800] ステージすんなだから。ええやん。ええやん。
[02:14:51.280] 安らかな。
[02:14:52.360] 安らかな。レストインピース。
[02:14:58.000] 悪くない。
[02:14:58.800] 悪くない。悪くないぜ。エルギーザの封印ということでありがとうやした。
[02:15:07.239] お疲れ様。
[02:15:08.040] ありがとう。
[02:15:09.280] ありがとう。マーブルもありがとうな。マブカス。マブカスもありがとうな。マブカスもしかもしれません。
[02:15:14.719] アクションパズルが面白い。
[02:15:17.840] アクションパズルが面白い。このこのこのこのロゴのロゴ写真撮って使ってます。
[02:15:24.880] ありがとうな。まブカすな。ありがとう。お疲れ。ありがとうね。もれえわ。やっぱ
[02:15:28.280] MSXなんすわ。
[02:15:29.960] やっぱりMSX
[02:15:31.760] 面白いわ。ということでありがとうございました。はい。じゃあ今日はレドします。し
[02:15:35.920] かった。ありがとう。
[02:15:37.159] おありがとな。
[02:15:38.400] あ、ありなんでもお疲れちゃん。
[02:15:39.840] 緑の名前からもお疲れ様。
[02:15:42.079] 緑の
[02:15:43.079] ありが
[02:15:43.719] 緑の緑の名前からせやろって。なんでなんでちょっとあのしげやれません
[02:15:49.960] さ顔が今日の配信は忘れません。なんでだよ。また来いよ。また来いよ。ただ明日はごめんなさい。明日俺あの車の車じゃねえや。車じゃねえや。会社の飲み会えがあってちょっと配信できないんで土曜日の夜やります。土曜日の夜。デラコマ君。
[02:16:02.599] あ、デラコマ君
[02:16:05.760] プラもいいすか?やってもらって。ついに
[02:16:07.800] 発表されましたね。ついに発表されました
[02:16:10.320] ね。
[02:16:12.000] キラーマシンプラモデルが
[02:16:15.480] あれちょっとあれちょっとやろうよ。
[02:16:17.679] キラーマシンプラモデル。キラー
[02:16:20.320] マシンプラモデル予約開始したぜ
[02:16:22.239] 。これは値段もそんな高くないんでいいな
[02:16:26.119] 。値段もそんな高くないんでちょっとラゴ
[02:16:28.960] マ君にまたお願いしようかな。
[02:16:30.239] でさ、バ君、ちょっと7
[02:16:31.760] 月ぐらいだっけ?
[02:16:33.000] そうだね。だからもう予約してあれしようかなと思って。
[02:16:35.639] メタリックにして
[02:16:36.639] で1
[02:16:38.200] 個お願いがある。あれサイズちっちゃいやん。多分パーツめっちゃ少ないやん。
[02:16:43.240] 2個やってもらっていいすか?で、
[02:16:45.160] いいよ。
[02:16:45.800] で、塗料とか送るんで赤にしてもらってい
[02:16:50.960] G作ってくんない?
[02:16:52.960] タイプG
[02:16:53.559] 作って欲しいんだけど。めっちゃ良くない?
[02:16:56.080] ちゃー。
[02:16:57.760] 赤、赤にしてタイプ
[02:17:00.120] Gにしようよ。
[02:17:01.240] 赤いのいるよね。めっちゃ強いやつ。タイプ
[02:17:03.920] G。それ作る配信したい。
[02:17:06.760] メタルハンターちゃう。
[02:17:07.920] あ、メタルハンターもいい。
[02:17:09.800] 今あるのかな?
[02:17:10.880] じゃ、じゃ、あ、確かにあれ、確かに今あれだよな。あれ、今塗料って買えるの?ナフサが。ナフサがねえもんな。今な、ナフサが。
[02:17:23.200] ああ、
[02:17:26.000] なあ。
[02:17:27.840] 確かに今プラモの塗料とか買えないんじゃない?
[02:17:30.800] 在庫で終わりやな。
[02:17:32.160] 確かに今塗料ってできないでしょ。
[02:17:35.359] 買しめられてなければあると思うよ。クレヨンとかなら
[02:17:40.880] クレクレヨンだったら
[02:17:43.120] 街の模型屋とかならないか。店行けばまだ。
[02:17:46.240] あ、店行けばまだあるんだ。ただそのシナーとかも使うでしょ。多分うめみたいな使わないんかな。わかんないけど。その辺が手に入んないかもな。
[02:17:56.080] ま、ま、ちょっと後で相談するわ。は
[02:17:58.080] ないけどかなり生産量がれて満性的な。ま、でも言うてね、塗料、プラモの塗料なんてこんなもうこんな小瓶みたいなもんだもんな。さ、そんなにそんなにあれじゃないんだろうけど、なんかその一感とかでさ、業務用とか手牌ないだろうけど。ま、そんな感じっすわ。そんな感じでございますね。そんな感じでございます。ちょっとやりたいプラモが
[02:18:19.559] ホルムズを解放してくれ。
[02:18:21.200] ホルムズ海峡を俺が俺がホルムズ海峡あれしてやるか。や
[02:18:26.439] そうだったわ。
[02:18:27.880] 作りやす。あの、めっちゃ多分あれパーツ少ないからそうなんでちょっとまたやってほしいなと思ってよろしくお願いします。
[02:18:36.359] 配信休んでもいいから頼まい。
[02:18:39.200] 何?ホルムズ海峡にそんな力があればちくしょ。
[02:18:43.840] 笑笑。
[02:18:44.399] 俺に力があれば。俺に力があれば。やべえな。楽しみだな。それも楽しみだし。あれも楽しみだしな。あのポリメガリミックスも楽しみ。
[02:18:57.800] ホルムズくらい力が欲しいか。
[02:19:01.280] 脳に直接力が欲しいか。誰に冷凍しよっかな。誰に冷凍しよっかな。
[02:19:10.000] 終わりの雰囲気出してません。
[02:19:11.639] 終わりで、もう終わりで明日仕事だもん。明日仕事だもん。終わりで終わりの雰囲気というか終わりです。終わりの雰囲気ちゃう。
[02:19:20.240] 1
[02:19:20.359] 人しかいない。終わるん
[02:19:22.120] できる人?誰?1
[02:19:22.880] 人終わるよ。もう寝るよ。俺誰にレドしよっかなて思っ
[02:19:26.479] 金力で行け。
[02:19:28.200] 金曜とか力ではだけど朝起きなきゃいけないから朝はもうよ。
[02:19:32.880] 配信
[02:19:34.040] ないないないないないないないないないないないないないないないないないないない。
[02:19:41.120] え、じゃ、今日は、
[02:19:48.319] あ、
[02:19:49.359] 何?今日も
[02:19:53.040] 8でいっか。8でいっか。
[02:19:56.240] にゃこゾム。こゾーム。こゾーム。
[02:19:58.880] 今日は8でいいや。はい。ということで、
[02:20:01.720] 8
[02:20:02.000] でいいです。
[02:20:04.240] ありがとうございました。ということで、またね。また明後日。
[02:20:09.160] また明後日会おうぜ。うん。
[02:20:10.720] 冷やし中華でいいよ。
[02:20:11.840] 冷や中華でいいよ。うん。あ、そうめでいいよ。そめでいいよ。簡単に適当に。カレでいいよ。カレで
[02:20:19.000] おつちゃ。
[02:20:20.120] はい。ことではダブル閉む
[02:20:27.200] Sバッ。
[02:20:28.240] おやすみ。またね。
[02:20:29.800] 8
[02:20:30.000] にレドするわ。お疲れちゃん。またね。ない。
[02:20:33.640] 足りるかドリル敵スリル茶まげのパズル髪が舞いるお疲れ様でしたね。
[02:20:41.359] たまたまにたまに海分じゃないの何もいるじゃん。
[02:20:46.439] 足りるかどりる敵くるすりたけのバズル神が舞いるした
[02:20:56.399] 多彩すぎるダブル開分ちゃうんかい
[02:21:01.040] 海分ちゃうんかい神が舞い降りるユ神が舞い降りるユはいましたみちゃ時代を超えた
[02:21:15.359] ゲームで心を踊らせたい時間は今日は終わりだ。レオンの光がブロードラな日はね。
[02:21:41.439] さん毎回このタイミングでトライアゲインやるんだけど、ここ出ないんだよね。
[02:21:45.399] 音しかならないから。
[02:21:50.280] お休みを超えたゲームでお尻は今日は終
[02:22:00.760] お疲れ。ありがとうね。さんありがとう。だけで笑。おに。
[02:22:08.880] お尻かきに来てくれ。お尻かき。
[02:22:11.000] お尻かきちゃの。お尻かき。
[02:22:13.600] お疲様。く
[02:22:16.359] こめちゃんもありがとう。こめちゃんもありがとう。
[02:22:20.000] お尻かき
[02:22:23.359] ほんでまたね。
[02:22:28.720] ほな
[02:22:29.560] ほなありがとうな。今もお疲れちゃん。はい。またね。
[02:22:33.000] お休み。
[02:22:34.240] はい。
