[00:00:36.520] ブー
[02:01:49.800] もう少し伸ばさなきゃいけないんだ俺は。とことではい。あした。
[02:01:56.880] なんか、あの、今日はね、あの、今日はなんかすごくあの、ゆったりとしたあのね、スロー、スロー配信荒らした。
[02:02:06.920] ス、スロー配信でしたが、スロー配信でしたが、ま、こういう時もあっていいんじゃないかなということではい、ありが
[02:02:15.400] 温かい配信でした。
[02:02:17.040] 温かい配信でしたな。いや、ほんまにね。ほんバディで
[02:02:22.560] ほんまにね、この後ね、私何配信しようかすごい。
[02:02:26.320] すごい悩んでます。ドラクセブ行っちゃおうかな。ゴーストオブ予定やっちゃおうかなとか思っちゃってます。ま、そこで悩んでる。どっちがいいかな?どっちがいいと思う?ゴーストオブ妖な
[02:02:46.079] もう買ったの?
[02:02:47.079] まだどっちもやれやるかちゃおうかな。
[02:02:50.360] やるか
[02:02:50.920] 広がっても楽しみなんだよな。
[02:02:53.239] やるかい。シャ、誰がシャやんねん。
[02:02:56.159] コントラ
[02:02:57.040] 魔界。魔界。発見でシャ。
[02:02:59.719] PC
[02:03:00.000] エンジンのな。絶対やらないけど。うスもまあだけどさ。うスもありだけど。あれもまた沼まって長くなりそうなんだよな。面白そうなんだけどさ。
[02:03:13.079] ソロモンに
[02:03:14.159] コントラはじんちゃんとあのやるよ。やることは決まってるね。
[02:03:21.800] ソロモンにソロモンにはちょっとじゃ、買ってくれ。あれ
[02:03:24.760] 1
[02:03:25.000] 枚もすん高すぎということで、ま、ドリクしぶりに思いのリクエストおもろい
[02:03:32.280] ね。まあね、ドリクラ久しぶりに回すのもいいよねと思うんですけどもね。ま、ということで、ということで、え、
[02:03:40.400] じゃあ間を取って空論か。うん。
[02:03:41.960] 全然間じゃねえや、お前。全然間じゃねえよ。それど、どこの間やねん。どことどこの間やね。ということで、え、ありがとうございました。
[02:03:50.280] え、ありがとうございました。え、え、ありがとうございました。はい、レドなし。お疲れさん、またね。おやすみなさい。また、え、金曜日ですわな。次は金曜日ですわ。金曜日にちょっとジョゼ、
[02:04:08.639] あの、ジョゼカスそろそろクリアしたいっす。ジョゼカス。お疲れさん、みんなありがとうね。ありがとうござました。早く寝ろよ。お前らもな、まだな。バイバイ。
[02:04:19.719] 俺のこと忘れないでね。また週末
[02:04:25.960] 金曜日金曜日金曜日ね金曜日おつやべ。
[02:04:39.719] おつやで。おつちゃま。イアムジェフ
[02:04:42.360] 1
[02:04:44.000] 話。
[02:04:46.360] 心を踊らせたしい時間は今日は終わりだ。
[02:04:51.440] レオンの光が夢をつぐ派手なバカは今日はおつで
[02:05:03.320] が心を包むき時代を共に感じるカロンが就職なんて冗談さなんかゲームの先に弱が見えたよ
[02:05:16.880] グータラジオアーカイブおもろかった
[02:05:19.119] おい聞く
[02:05:22.679] んもダ
[02:05:26.320] あんなもん聞くな。笑笑
[02:05:30.360] 終わりやぞあんなもん。お前説ほぼゼロの
[02:05:36.400] まだだって24
[02:05:37.559] 歳とかだもん。多分あれやってたの。
[02:05:40.880] そら若いよお前。
[02:05:42.719] 20
[02:05:43.000] 代前半。楽しい時間は今日は終わりだ。お休み。
[02:05:54.440] ほんま聞かないでくださいね。おります。
[02:05:56.960] 聞かない。聞かないでくださいね。エヴァにだけは乗らんといてくださいね。お休み。
[02:06:04.159] はい。ありがとうございました。お疲れさんでした。
